0, 0, Header, 1, 19, 480
1, 0, Start_track
1, 0, Title_t, "The Black Page"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 3, 12, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 1000000
1, 204, Tempo, 998336
1, 408, Tempo, 996678
1, 480, Time_signature, 4, 3, 12, 8
1, 612, Tempo, 995025
1, 816, Tempo, 993377
1, 1020, Tempo, 991736
1, 1224, Tempo, 990099
1, 1428, Tempo, 988468
1, 1632, Tempo, 986842
1, 1836, Tempo, 985222
1, 2040, Tempo, 983607
1, 2244, Tempo, 981997
1, 2448, Tempo, 980392
1, 2652, Tempo, 978793
1, 2856, Tempo, 977199
1, 3060, Tempo, 975610
1, 3264, Tempo, 974026
1, 3468, Tempo, 972447
1, 3672, Tempo, 970874
1, 3876, Tempo, 969305
1, 4080, Tempo, 967742
1, 4284, Tempo, 966184
1, 4488, Tempo, 964630
1, 4692, Tempo, 963082
1, 4896, Tempo, 961538
1, 5100, Tempo, 960000
1, 5304, Tempo, 958466
1, 5508, Tempo, 956938
1, 5712, Tempo, 955414
1, 5916, Tempo, 953895
1, 6120, Tempo, 952381
1, 6324, Tempo, 950872
1, 6528, Tempo, 949367
1, 6732, Tempo, 947867
1, 6936, Tempo, 946372
1, 7140, Tempo, 944882
1, 7344, Tempo, 943396
1, 7548, Tempo, 941915
1, 7752, Tempo, 940439
1, 7956, Tempo, 938967
1, 8160, Tempo, 937500
1, 9043, Tempo, 937354
1, 9926, Tempo, 937207
1, 10809, Tempo, 937061
1, 11692, Tempo, 936914
1, 12576, Tempo, 936768
1, 13459, Tempo, 936622
1, 14342, Tempo, 936476
1, 15225, Tempo, 936330
1, 16108, Tempo, 936183
1, 16992, Tempo, 936037
1, 17875, Tempo, 935891
1, 18758, Tempo, 935745
1, 19641, Tempo, 935600
1, 20524, Tempo, 935454
1, 21408, Tempo, 935308
1, 22291, Tempo, 935162
1, 23174, Tempo, 935016
1, 24057, Tempo, 934871
1, 24940, Tempo, 934725
1, 25824, Tempo, 934579
1, 26707, Tempo, 934434
1, 27590, Tempo, 934288
1, 28473, Tempo, 934143
1, 29356, Tempo, 933998
1, 30240, Tempo, 933852
1, 31123, Tempo, 933707
1, 32006, Tempo, 933562
1, 32889, Tempo, 933416
1, 33772, Tempo, 933271
1, 34656, Tempo, 933126
1, 35539, Tempo, 932981
1, 36422, Tempo, 932836
1, 37305, Tempo, 932691
1, 38188, Tempo, 932546
1, 39072, Tempo, 932401
1, 39955, Tempo, 932256
1, 40838, Tempo, 932111
1, 41721, Tempo, 931966
1, 42604, Tempo, 931822
1, 43488, Tempo, 931677
1, 44371, Tempo, 931532
1, 45254, Tempo, 931388
1, 46137, Tempo, 931243
1, 47020, Tempo, 931099
1, 47904, Tempo, 930954
1, 48787, Tempo, 930810
1, 49670, Tempo, 930665
1, 50553, Tempo, 930521
1, 51436, Tempo, 930377
1, 52320, Tempo, 930233
1, 53203, Tempo, 930088
1, 54086, Tempo, 929944
1, 54969, Tempo, 929800
1, 55852, Tempo, 929656
1, 56736, Tempo, 929512
1, 57619, Tempo, 929368
1, 58502, Tempo, 929224
1, 59385, Tempo, 929080
1, 60268, Tempo, 928936
1, 61152, Tempo, 928793
1, 62035, Tempo, 928649
1, 62918, Tempo, 928505
1, 63801, Tempo, 928361
1, 64684, Tempo, 928218
1, 65568, Tempo, 928074
1, 66451, Tempo, 927931
1, 67334, Tempo, 927787
1, 68217, Tempo, 927644
1, 69100, Tempo, 927500
1, 69984, Tempo, 927357
1, 70867, Tempo, 927214
1, 71750, Tempo, 927070
1, 72633, Tempo, 926927
1, 73516, Tempo, 926784
1, 74400, Tempo, 926641
1, 75283, Tempo, 926498
1, 76166, Tempo, 926355
1, 77049, Tempo, 926212
1, 77932, Tempo, 926069
1, 78816, Tempo, 925926
1, 79699, Tempo, 925783
1, 80582, Tempo, 925640
1, 81465, Tempo, 925497
1, 82348, Tempo, 925355
1, 83232, Tempo, 925212
1, 84115, Tempo, 925069
1, 84998, Tempo, 924927
1, 85881, Tempo, 924784
1, 86764, Tempo, 924642
1, 87648, Tempo, 924499
1, 88531, Tempo, 924357
1, 89414, Tempo, 924214
1, 90297, Tempo, 924072
1, 91180, Tempo, 923930
1, 92064, Tempo, 923788
1, 92947, Tempo, 923645
1, 93830, Tempo, 923503
1, 94713, Tempo, 923361
1, 95596, Tempo, 923219
1, 96480, Tempo, 923077
1, 106080, Tempo, 952381
1, 129120, Tempo, 882353
1, 129120, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
